tiempo_t,anio,trimestre,variable,modelo,prediccion,lim_inf_80,lim_sup_80,lim_inf_95,lim_sup_95
2032.75,2032,IV,pobreza_total,Holt-Winters,8.746207708394937,4.191532423647072,13.300882993142803,1.7718611786247687,15.720554238165107
2033.0,2033,I,pobreza_total,Holt-Winters,8.432002713477331,3.806708096735096,13.057297330219566,1.3495203315907842,15.514485095363877
2033.25,2033,II,pobreza_total,Holt-Winters,8.484653307801809,3.789801485450398,13.17950513015322,1.2956614548262113,15.673645160777406
2033.5,2033,III,pobreza_total,Holt-Winters,8.870676929301759,4.1072834985627,13.634070360040816,1.576730738482575,16.164623120120943
2033.75,2033,IV,pobreza_total,Holt-Winters,8.350927434339889,3.519964764417912,13.181890104261866,0.9535158460218618,15.748339022657916
2034.0,2034,I,pobreza_total,Holt-Winters,8.036722439422284,3.139122653777144,12.934322225067426,0.537272767653163,15.536172111191405
2034.25,2034,II,pobreza_total,Holt-Winters,8.08937303374676,3.1260307120321897,13.05271535546133,0.48925510362132396,15.689490963872196
2034.5,2034,III,pobreza_total,Holt-Winters,8.47539665524671,3.4471712879133554,13.503622022580064,0.7759265615175108,16.17486674897591
2034.75,2034,IV,pobreza_total,Holt-Winters,7.955647160284842,2.863365384217623,13.047928936352061,0.15809069068191306,15.753203629887771
2025.0,2025,I,pobreza_total,SARIMA,11.527517050999018,10.689193998878924,12.365840103119112,10.243834877440124,12.811199224557912
2025.25,2025,II,pobreza_total,SARIMA,11.662709489750183,10.477141659791938,12.848277319708428,9.847308750126622,13.478110229373744
2025.5,2025,III,pobreza_total,SARIMA,11.979873941466932,10.527855822038717,13.431892060895148,9.756471196092479,14.203276686841386
2025.75,2025,IV,pobreza_total,SARIMA,11.439261149424308,9.76261504518412,13.115907253664496,8.87189680230652,14.006625496542096
2026.0,2026,I,pobreza_total,SARIMA,11.011929703117135,9.137382371471505,12.886477034762764,8.141529101534765,13.882330304699504
2026.25,2026,II,pobreza_total,SARIMA,11.080353257049614,9.026889539742756,13.133816974356472,7.935986939923488,14.22471957417574
2026.5,2026,III,pobreza_total,SARIMA,11.499830241698612,9.281835927456203,13.717824555941021,8.103526448014925,14.8961340353823
2026.75,2026,IV,pobreza_total,SARIMA,10.919125928902197,8.547990268985709,13.290261588818685,7.288324449655073,14.54992740814932
2027.0,2027,I,pobreza_total,SARIMA,10.511190206995815,7.996221050635533,13.026159363356097,6.660143686319133,14.362236727672498
2027.25,2027,II,pobreza_total,SARIMA,10.61078509585945,7.959774836135904,13.261795355582997,6.55142563565777,14.67014455606113
